ip16	rep_ip	asn	bgp_prefix	cc	registry	as_org
40.124	40.124.0.1	8075	40.124.0.0/16	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.125	40.125.0.1	8075	40.125.0.0/17	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
45.84	45.84.0.1	NA	NA	RU	ripencc	NA
51.57	51.57.0.1	8075	51.56.0.0/14	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.87	52.87.0.1	14618	52.86.0.0/15	US	arin	AMAZON-AES - Amazon.com, Inc., US
52.141	52.141.0.1	8075	52.136.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.155	52.155.0.1	8075	52.152.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.159	52.159.0.1	8075	52.152.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.160	52.160.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.161	52.161.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.162	52.162.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.165	52.165.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.167	52.167.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.173	52.173.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.176	52.176.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.177	52.177.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.179	52.179.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.180	52.180.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.190	52.190.0.1	8075	52.160.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.225	52.225.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.230	52.230.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.234	52.234.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.237	52.237.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.238	52.238.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.241	52.241.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.242	52.242.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.246	52.246.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.247	52.247.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.250	52.250.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.251	52.251.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.255	52.255.0.1	8075	52.224.0.0/11	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
57.151	57.151.0.1	8075	57.150.0.0/15	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
57.154	57.154.0.1	8075	57.152.0.0/14	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
64.225	64.225.0.1	14061	64.225.0.0/20	US	arin	DIGITALOCEAN-ASN - DigitalOcean, LLC, US
64.236	64.236.0.1	8075	64.236.0.0/16	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
65.52	65.52.0.1	8075	65.52.0.0/14	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
74.125	74.125.0.1	15169	74.125.0.0/20	US	arin	GOOGLE - Google LLC, US
74.249	74.249.0.1	8075	74.248.0.0/15	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
77.110	77.110.0.1	3301	77.110.0.0/18	SE	ripencc	TELIANET-SWEDEN - Telia Company AB, SE
80.67	80.67.0.1	42708	80.67.0.0/20	SE	ripencc	GLESYS - Glesys AB, SE
94.16	94.16.0.1	42360	94.16.0.0/24	AT	ripencc	SSP-EUROPE - Anexia Cloud Solutions GmbH, AT
103.75	103.75.0.1	133041	103.75.0.0/24	HK	apnic	TIANXINGROUP-AS-AP - Tianxin Group Co., Limited, HK
104.22	104.22.0.1	13335	104.22.0.0/24	US	arin	CLOUDFLARENET - Cloudflare, Inc., US
104.40	104.40.0.1	8075	104.40.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
104.42	104.42.0.1	8075	104.40.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
104.43	104.43.0.1	8075	104.40.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
104.45	104.45.0.1	8075	104.40.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
104.209	104.209.0.1	8075	104.208.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
104.210	104.210.0.1	8075	104.208.0.0/13	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
107.189	107.189.0.1	53667	107.189.0.0/21	US	arin	PONYNET - FranTech Solutions, US
109.70	109.70.0.1	48635	109.70.0.0/21	NL	ripencc	CLDIN-NL - Your Hosting B.V., NL
120.233	120.233.0.1	56040	120.233.0.0/22	CN	apnic	CMNET-GuangDong-AP - China Mobile communications corporation, CN
128.203	128.203.0.1	8075	128.203.0.0/16	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
130.131	130.131.0.1	8075	130.131.0.0/16	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
130.213	130.213.0.1	8075	130.213.0.0/16	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
132.196	132.196.0.1	8075	132.196.0.0/16	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
134.33	134.33.0.1	8075	134.33.0.0/16	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
134.122	134.122.0.1	14061	134.122.0.0/20	US	arin	DIGITALOCEAN-ASN - DigitalOcean, LLC, US
135.119	135.119.0.1	8075	135.119.0.0/16	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
135.136	135.136.0.1	9009	135.136.0.0/24	RO	ripencc	M247 - M247 Europe SRL, RO
135.232	135.232.0.1	8075	135.232.0.0/14	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
135.234	135.234.0.1	8075	135.232.0.0/14	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
137.116	137.116.0.1	8075	137.116.0.0/16	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
141.148	141.148.0.1	31898	141.148.0.0/18	US	ripencc	ORACLE-BMC-31898 - Oracle Corporation, US
142.4	142.4.0.1	46606	142.4.0.0/19	US	arin	UNIFIEDLAYER-AS-1 - Unified Layer, US
147.90	147.90.0.1	214563	147.90.0.0/24	NL	ripencc	INFRANAT - CLAIS JONATHAN trading as Infranat, FR
147.182	147.182.0.1	27555	147.182.0.0/24	US	arin	BV-PUBLIC-ASN - Black & Veatch International Company, US
149.22	149.22.0.1	174	149.22.0.0/16	US	arin	COGENT-174 - Cogent Communications, LLC, US
153.127	153.127.0.1	7684	153.127.0.0/17	JP	apnic	SAKURA-A - SAKURA Internet Inc., JP
156.146	156.146.0.1	NA	NA	US	arin	NA
157.55	157.55.0.1	8075	157.55.0.0/16	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
157.56	157.56.0.1	8075	157.56.0.0/16	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
162.159	162.159.0.1	13335	162.159.0.0/24	US	arin	CLOUDFLARENET - Cloudflare, Inc., US
162.243	162.243.0.1	14061	162.243.0.0/17	US	arin	DIGITALOCEAN-ASN - DigitalOcean, LLC, US
165.140	165.140.0.1	NA	NA	US	arin	NA
167.71	167.71.0.1	14061	167.71.0.0/20	US	arin	DIGITALOCEAN-ASN - DigitalOcean, LLC, US
167.172	167.172.0.1	14061	167.172.0.0/22	US	ripencc	DIGITALOCEAN-ASN - DigitalOcean, LLC, US
168.62	168.62.0.1	8075	168.62.0.0/15	US	arin	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.69	172.69.0.1	13335	172.69.0.0/24	US	arin	CLOUDFLARENET - Cloudflare, Inc., US
172.70	172.70.0.1	132892	172.70.0.0/19	US	arin	CLOUDFLARE - Cloudflare, Inc., US
172.170	172.170.0.1	8075	172.160.0.0/11	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.171	172.171.0.1	8075	172.160.0.0/11	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.173	172.173.0.1	8075	172.160.0.0/11	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.177	172.177.0.1	8075	172.160.0.0/11	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.184	172.184.0.1	8075	172.160.0.0/11	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.185	172.185.0.1	8075	172.160.0.0/11	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.202	172.202.0.1	8075	172.200.0.0/13	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.208	172.208.0.1	8075	172.208.0.0/13	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.212	172.212.0.1	8075	172.208.0.0/13	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.214	172.214.0.1	8075	172.208.0.0/13	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.215	172.215.0.1	8075	172.208.0.0/13	GB	ripencc	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
184.178	184.178.0.1	22773	184.176.0.0/12	US	arin	ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc., US
184.185	184.185.0.1	22773	184.185.0.0/21	US	arin	ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc., US
185.220	185.220.0.1	205390	185.220.0.0/22	DE	ripencc	tectiqom-as - TectiQom Information Technology GmbH, DE
188.129	188.129.0.1	29485	188.129.0.0/17	HR	ripencc	AMISHR - A1 Hrvatska d.o.o., HR
192.42	192.42.0.1	20348	192.42.0.0/24	US	arin	OFS-BRANDS - OFS Brands Holdings Inc, US
192.111	192.111.0.1	NA	NA	US	arin	NA
192.178	192.178.0.1	15169	192.178.0.0/15	US	arin	GOOGLE - Google LLC, US
192.252	192.252.0.1	25813	192.252.0.0/21	US	arin	EXELA-25813 - HOV Services, Inc., US
193.221	193.221.0.1	NA	NA	BE	ripencc	NA
208.102	208.102.0.1	6181	208.102.0.0/17	US	arin	FUSE-NET - Cincinnati Bell Telephone Company LLC, US
209.46	209.46.0.1	34437	209.46.0.0/24	US	arin	COVERTHART-AS-34437 - CovertHart Networks, US
212.58	212.58.0.1	8685	212.58.0.0/24	TR	ripencc	DorukNet - Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S., TR
