alias,timestamp,ip,clicks,title,url
1q124,2026-05-29 15:30:05,20.98.85.65,0,MWITEST,https://api.dataafrica.io/api/join/?geo=050AF0015201889%26show=crop%26sumlevel=lowest%26required=harvested_area%2Cvalue_of_production%2Ccrop_parent%2Ccrop_name%26order=value_of_production%26sort=desc
1005p,2026-05-29 15:30:49,20.69.44.213,0,MAL1888,"https://api.dataafrica.io/api/join/?geo=050AF0015201888&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name&order=value_of_production&sort=desc"
-o53p,2026-05-29 15:33:07,4.255.252.60,0,datatest,http://api.dataafrica.io
1vjwp,2026-05-29 15:33:09,20.88.25.115,0,datatest,https://api.dataafrica.io/api/join/?geo%3D050AF0015201888%26show%3Dcrop
04e7w,2026-05-29 15:33:45,20.168.77.101,0,X,https://api.dataafrica.io/api/join/?crop=chic%26geo=050AF0015201889%26required=value_of_production%26show=crop
1i-6x,2026-05-29 15:33:49,172.208.154.161,0,Southern Malawi Chickpea Data Africa,"https://api.dataafrica.io/api/join/?geo=050AF0015201890&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name&order=value_of_production&sort=desc&crop=chic"
08b6w,2026-05-29 15:33:50,52.161.37.214,0,hi,https://api.dataafrica.io/api/join/?crop=chic%26geo=050AF0015201889%26required=value_of_production%26show=crop
27fvl,2026-05-29 15:37:11,57.154.27.227,0,https://yourls.website/yourls-api.php?format=json&action=shorturl&keyword=zznorth11917&url=https%3A%2F%2Fapi.dataafrica.io%2Fapi%2Fjoin%2F%3Fgeo%3D050AF0015201889%2526show%3Dcrop%2526required%3Dvalue_of_production,https://yourls.website/yourls-api.php?format=json&action=shorturl&keyword=zznorth11917&url=https%3A%2F%2Fapi.dataafrica.io%2Fapi%2Fjoin%2F%3Fgeo%3D050AF0015201889%2526show%3Dcrop%2526required%3Dvalue_of_production
22vrc,2026-05-29 15:39:15,4.149.122.249,0,https://api.dataafrica.io,https://api.dataafrica.io
25oj9,2026-05-29 15:40:29,20.225.170.86,0,https://example.com,https://example.com
-97pv,2026-05-29 15:40:57,64.236.249.23,0,https://api.dataafrica.io/attrs/geo/,https://api.dataafrica.io/attrs/geo/
15qci,2026-05-29 15:41:01,20.59.124.102,0,https://api.dataafrica.io/api/join/?geo=050AF0015201888,https://api.dataafrica.io/api/join/?geo=050AF0015201888
-k6vt,2026-05-29 15:42:01,20.9.41.15,0,foo.com,https://foo.com/?redirect=https://api.dataafrica.io/api/join
0lpfw,2026-05-29 15:46:12,20.165.240.39,0,Example Domain,https://example.org/test0.6333208886140281
1dv0b,2026-05-29 15:46:29,20.171.57.198,0,test,https://example.org/xx4
1nvle,2026-05-29 15:48:54,20.25.167.225,0,Example Domain,https://example.org/yootestxyz
mzw0,2026-05-29 15:49:22,20.165.143.249,0,https://api.dataafrica.io,https://api.dataafrica.io
mzw1,2026-05-29 15:49:25,20.59.115.38,0,https://api.dataafrica.io/attrs/list/,https://api.dataafrica.io/attrs/list/
mzw2,2026-05-29 15:49:29,20.94.245.171,0,https://api.dataafrica.io/api,https://api.dataafrica.io/api
mzw4,2026-05-29 15:49:31,20.225.169.127,0,http://https%3a%2f%2fapi.dataafrica.io%2fapi%2fjoin%2f%3fgeo%3d050af0015201889,http://https%3a%2f%2fapi.dataafrica.io%2fapi%2fjoin%2f%3fgeo%3d050af0015201889
mzw3,2026-05-29 15:49:32,20.168.76.152,0,https://api.dataafrica.io/api/join/,https://api.dataafrica.io/api/join/
mzw5,2026-05-29 15:49:36,20.110.63.202,0,https://dataafrica.io/profile/central-region-mwi,https://dataafrica.io/profile/central-region-mwi
h0,2026-05-29 15:50:48,20.96.36.18,0,MyTitle,https://api.dataafrica.io
h1,2026-05-29 15:50:54,20.94.88.135,0,MyTitle,https://api.dataafrica.io/api/join/?show=geo&sumlevel=adm1
h2,2026-05-29 15:51:00,135.232.176.123,0,MyTitle,https://dataafrica.io/profile/malawi
ssrf,2026-05-29 15:53:28,57.154.47.184,0,https://yourls.pro/yourls-api.php?action=shorturl&url=https%3A%2F%2Fapi.dataafrica.io%2Fapi%2Fjoin%2F%3Fgeo%3D050AF0015201888%26show%3Dcrop%26required%3Dvalue_of_production%26crop%3Dchic&format=json&title=MWITARGET&keyword=mwichicktest94872,https://yourls.pro/yourls-api.php?action=shorturl&url=https%3A%2F%2Fapi.dataafrica.io%2Fapi%2Fjoin%2F%3Fgeo%3D050AF0015201888%26show%3Dcrop%26required%3Dvalue_of_production%26crop%3Dchic&format=json&title=MWITARGET&keyword=mwichicktest94872
1o677,2026-05-29 15:56:35,20.9.8.94,0,http://api.dataafrica.io/attrs/list,http://api.dataafrica.io/attrs/list
06495,2026-05-29 16:03:00,20.59.35.19,0,test,https://api.dataafrica.io/api/join/?geo=050AF0015201889&crop=chic&show=geo&required=value_of_production
06upt,2026-05-29 16:06:58,147.182.197.88,0,Example Domain,https://example.org
-yyxx,2026-05-29 16:19:16,64.236.200.0,0,"https://api.dataafrica.io/api/join/csv/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name","https://api.dataafrica.io/api/join/csv/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name"
1rb19,2026-05-29 16:29:15,23.100.87.201,0,http://api.dataafrica.io/api/join/?geo=050AF0015201888,http://api.dataafrica.io/api/join/?geo=050AF0015201888
-03lj,2026-05-29 16:31:27,20.122.145.2,0,"https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=value_of_production,crop_name&crop=chic","https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=value_of_production,crop_name&crop=chic"
25xx,2026-05-29 16:32:06,4.255.203.6,0,https://api.dataafrica.io,https://api.dataafrica.io
55xx,2026-05-29 16:32:10,52.161.34.88,0,https://api.dataafrica.io/attrs/geo/northern-region-mwi,https://api.dataafrica.io/attrs/geo/northern-region-mwi
29xx,2026-05-29 16:32:13,20.168.39.203,0,https://api.dataafrica.io/api,https://api.dataafrica.io/api
49xx,2026-05-29 16:32:17,20.80.181.146,0,https://dataafrica.io/profile/northern-region-mwi,https://dataafrica.io/profile/northern-region-mwi
0n1za,2026-05-29 16:32:37,20.165.231.97,0,http://dataafrica.io,http://dataafrica.io
0j8ej,2026-05-29 16:32:41,20.172.5.166,0,https://dataafrica.io,https://dataafrica.io
1gbk2,2026-05-29 16:33:16,20.9.59.60,0,x,"https://api.dataafrica.io/api/join/?geo=050AF0015201889%26show=crop%26sumlevel=lowest%26required=value_of_production,crop_name%26crop=chic"
1f4tc,2026-05-29 16:39:33,172.202.73.117,0,"https://api.dataafrica.io/api/join/?geo=050AF0015201888&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name","https://api.dataafrica.io/api/join/?geo=050AF0015201888&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name"
22ui2,2026-05-29 16:40:18,20.228.110.253,0,"https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name&order=value_of_production&sort=desc","https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name&order=value_of_production&sort=desc"
28nah,2026-05-29 16:40:44,20.66.19.147,0,https://api.dataafrica.io/api/join/?geo=050AF0015201889%26show=crop,https://api.dataafrica.io/api/join/?geo=050AF0015201889%26show=crop
-hto2,2026-05-29 16:43:36,4.227.83.156,0,https://api.dataafrica.io,https://api.dataafrica.io
0g8hv,2026-05-29 16:46:54,64.236.210.250,0,https://api.dataafrica.io,https://api.dataafrica.io
0ydoy,2026-05-29 16:49:15,20.29.102.82,0,Error 404 (Not Found)!!1,https://google.com/x?a=1&b=2
1v5al,2026-05-29 16:51:44,20.69.251.46,0,https://api.dataafrica.io/api,https://api.dataafrica.io/api
2aoq9,2026-05-29 16:52:47,40.112.235.193,0,https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop,https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop
-x5l9,2026-05-29 16:53:08,20.9.59.31,0,https://api.dataafrica.io,https://api.dataafrica.io
1ibqp,2026-05-29 16:53:12,4.255.202.73,0,http://api.dataafrica.io,http://api.dataafrica.io
abcx,2026-05-29 16:53:53,20.171.66.159,0,https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&required=value_of_production,https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&required=value_of_production
-4b-y,2026-05-29 16:54:31,23.101.148.137,0,https://dataafrica.io,https://dataafrica.io
0a0jv,2026-05-29 16:55:19,20.9.57.56,0,foo,https://api.dataafrica.io/api/join/?show=crop
idx,2026-05-29 16:59:35,135.119.62.183,0,x,https://example.com/?id=x
3f,2026-05-29 17:00:47,52.242.126.39,0,https://api.dataafrica.io/api/join/?geo=050,https://api.dataafrica.io/api/join/?geo=050
www,2026-05-29 17:01:54,4.255.253.194,0,https://api.dataafrica.io/api/join/?geo=050AF0015201889,https://api.dataafrica.io/api/join/?geo=050AF0015201889
k18x,2026-05-30 14:25:07,20.188.71.16,0,http://deadbeef0123456789,http://deadbeef0123456789
k20x,2026-05-30 14:25:11,20.12.219.9,0,http:////deadbeef0123456789,http:////deadbeef0123456789
k34x,2026-05-30 14:25:12,20.9.87.13,0,"http://data:text/plain,deadbeef0123456789","http://data:text/plain,deadbeef0123456789"
k15x,2026-05-30 14:25:13,52.141.88.49,0,http://mailto:deadbeef,http://mailto:deadbeef
k11x,2026-05-30 14:25:15,52.162.206.242,0,http://dead,http://dead
k25x,2026-05-30 14:25:17,128.203.184.67,0,http://javascript:deadbeef012345,http://javascript:deadbeef012345
-fitu,2026-05-30 19:02:15,20.29.91.221,0,https://api.usa.gov,https://api.usa.gov
01hv4,2026-05-30 19:08:55,40.65.81.233,0,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all%3Fapi_key%3DDEMO_KEY,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all%3Fapi_key%3DDEMO_KEY
iy,2026-05-30 19:59:18,4.150.12.20,0,https://example.com/marker000,https://example.com/marker000
1ymh2,2026-05-30 20:07:33,20.165.135.203,0,MYCUSTOMTITLE,https://example.com?q=testfoo0.3863705939734632
fbi,2026-05-30 20:39:48,130.131.23.10,0,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all?from=01-2022&to=12-2022&type=counts&API_KEY=DEMO_KEY,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all?from=01-2022&to=12-2022&type=counts&API_KEY=DEMO_KEY
mix7,2026-05-30 21:01:58,20.225.41.28,0,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all?API_KEY=DEMO_KEY&from=01-2022&to=12-2022&type=counts,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all?API_KEY=DEMO_KEY&from=01-2022&to=12-2022&type=counts
1uoin,2026-05-30 21:42:24,4.255.254.42,0,https://example.com,https://example.com
twx3,2026-05-30 22:47:53,172.173.67.219,0,https://cde.ucr.cjis.gov/LATEST/arrest/agency/AL0040000/all?from=01-2022;to=12-2022;type=counts,https://cde.ucr.cjis.gov/LATEST/arrest/agency/AL0040000/all?from=01-2022;to=12-2022;type=counts
404,2026-05-30 23:18:05,20.80.59.67,0,https://cde.ucr.cjis.gov/LATEST/arrest/agency/AL0040000/all?from=01-2022%26to=12-2022%26type=counts,https://cde.ucr.cjis.gov/LATEST/arrest/agency/AL0040000/all?from=01-2022%26to=12-2022%26type=counts
1p2ls,2026-05-30 23:21:38,20.69.37.240,0,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all?from=01-2022%26to=12-2022%26type=counts%26API_KEY=DEMO_KEY,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all?from=01-2022%26to=12-2022%26type=counts%26API_KEY=DEMO_KEY
cde,2026-05-30 23:22:54,20.168.181.16,0,https://cde.ucr.cjis.gov/LATEST/arrest/agency/AL0040000/all?from=01-2022&to=12-2022&type=counts,https://cde.ucr.cjis.gov/LATEST/arrest/agency/AL0040000/all?from=01-2022&to=12-2022&type=counts
-zo1d,2026-05-30 23:40:57,4.154.176.155,0,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all?API_KEY=DEMO_KEY%26from=01-2022%26to=12-2022%26type=counts,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all?API_KEY=DEMO_KEY%26from=01-2022%26to=12-2022%26type=counts
1exbb,2026-05-31 00:19:19,20.65.252.112,0,https://github.com,https://github.com
-irak,2026-06-07 09:31:05,4.151.125.34,0,404 Not Found,https://api.dataafrica.io
0ldch,2026-06-09 01:47:02,40.64.126.251,0,https://api.usa.gov/crime/fbi/cde/arrest/state/IA/90?API_KEY=DEMO_KEY&from=12-2015&to=12-2016&type=counts,https://api.usa.gov/crime/fbi/cde/arrest/state/IA/90?API_KEY=DEMO_KEY&from=12-2015&to=12-2016&type=counts
158rj,2026-06-16 04:07:14,64.236.154.113,0,https://example.com,https://example.com
17cel,2026-06-16 04:08:08,20.102.216.49,0,https://md.succ.ai/?url=https%3A%2F%2Fapi.dataafrica.io%2Fapi%2Fjoin%2F%3Fgeo%3D050AF0025303117%26show%3Dgeo%26required%3Dcondition%2Cproportion_of_children%2Cgender%26year%3D1995%26severity%3Dsevere,https://md.succ.ai/?url=https%3A%2F%2Fapi.dataafrica.io%2Fapi%2Fjoin%2F%3Fgeo%3D050AF0025303117%26show%3Dgeo%26required%3Dcondition%2Cproportion_of_children%2Cgender%26year%3D1995%26severity%3Dsevere
0sgjn,2026-06-17 02:21:03,20.169.25.19,0,MozHealthReal,"https://api.dataafrica.io/api/join/?geo=050AF0017002118&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all"
-k0m9,2026-06-17 03:43:38,20.165.134.21,0,Example Domain,https://example.org/testfoo
0ws-4,2026-06-17 03:48:03,20.114.155.191,0,https://api.dataafrica.io/api/join/?geo=050AF0017002122&show=year%2Ccondition%2Cresidence&required=proportion_of_children&sumlevel=all%2Call%2Call,https://api.dataafrica.io/api/join/?geo=050AF0017002122&show=year%2Ccondition%2Cresidence&required=proportion_of_children&sumlevel=all%2Call%2Call
0-soj,2026-06-17 03:48:16,20.122.191.235,0,Example Domain,https://example.org
06ifq,2026-06-17 03:48:31,20.59.22.179,0,https://example.com,https://example.com
0o-ty,2026-06-17 03:49:10,20.122.147.191,0,"https://api.dataafrica.io/api/join/?geo=050AF0017002119&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all&year=2011&severity=severe","https://api.dataafrica.io/api/join/?geo=050AF0017002119&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all&year=2011&severity=severe"
004ro,2026-06-17 03:49:33,20.171.147.143,0,"https://api.dataafrica.io/api/join/?geo=050AF0017002116&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all","https://api.dataafrica.io/api/join/?geo=050AF0017002116&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all"
22fln,2026-06-17 03:49:34,52.162.142.196,0,"https://api.dataafrica.io/api/join/?geo=050AF0017002117&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all","https://api.dataafrica.io/api/join/?geo=050AF0017002117&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all"
-g-vv,2026-06-17 03:49:37,20.245.16.109,0,https://example.com,https://example.com
0p6k9,2026-06-17 03:50:15,20.110.202.73,0,"https://api.dataafrica.io/api/join/?geo=050AF0017002115&show=year,condition,residence&required=proportion_of_children,dhs_geo_name&sumlevel=all,all,all&year=2011&severity=severe","https://api.dataafrica.io/api/join/?geo=050AF0017002115&show=year,condition,residence&required=proportion_of_children,dhs_geo_name&sumlevel=all,all,all&year=2011&severity=severe"
-0nzc,2026-06-17 03:50:27,20.110.151.72,0,https://api.dataafrica.io/api/join/?geo=050AF0017002122%26show=test,https://api.dataafrica.io/api/join/?geo=050AF0017002122%26show=test
-qda1,2026-06-17 03:50:29,20.65.51.9,0,https://api.dataafrica.io/api/join/?geo=050AF0017002120&show=year%2Ccondition%2Cresidence&required=proportion_of_children&sumlevel=all%2Call%2Call&year=2011&severity=severe,https://api.dataafrica.io/api/join/?geo=050AF0017002120&show=year%2Ccondition%2Cresidence&required=proportion_of_children&sumlevel=all%2Call%2Call&year=2011&severity=severe
1t2id,2026-06-17 03:50:42,20.96.115.22,0,Example Domain,https://example.org/test
-mnd5,2026-06-17 03:51:29,135.232.208.36,0,https://api.dataafrica.io/api/join/?geo=050AF0017002115,https://api.dataafrica.io/api/join/?geo=050AF0017002115
-95h3,2026-06-17 03:51:30,135.232.210.28,0,"https://api.dataafrica.io/api/join/?geo=050AF0017002112&show=condition,residence&required=proportion_of_children&year=2011&severity=severe&sumlevel=all,all","https://api.dataafrica.io/api/join/?geo=050AF0017002112&show=condition,residence&required=proportion_of_children&year=2011&severity=severe&sumlevel=all,all"
1ecq4,2026-06-17 03:51:55,20.168.77.100,0,"https://api.dataafrica.io/api/join/?geo=050AF0017002120&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all&year=2011&severity=severe","https://api.dataafrica.io/api/join/?geo=050AF0017002120&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all&year=2011&severity=severe"
1y2z9,2026-06-17 03:52:29,20.29.72.206,0,https://api.dataafrica.io/api/join/,https://api.dataafrica.io/api/join/
148q-,2026-06-17 03:52:34,20.165.140.146,0,https://api.dataafrica.io/api/join/?geo=050AF0017002122&year=2011,https://api.dataafrica.io/api/join/?geo=050AF0017002122&year=2011
1f19g,2026-06-17 03:52:50,40.65.94.178,0,"https://api.dataafrica.io/api/join/?geo=050AF0017002119&show=year,condition,residence&required=proportion_of_children,dhs_geo_name&sumlevel=all,all,all&year=2011&severity=severe","https://api.dataafrica.io/api/join/?geo=050AF0017002119&show=year,condition,residence&required=proportion_of_children,dhs_geo_name&sumlevel=all,all,all&year=2011&severity=severe"
tryx,2026-06-17 03:53:20,52.141.92.68,0,Example Domain,https://example.net
-2-2d,2026-06-17 03:54:04,20.230.147.80,0,https://api.dataafrica.io/api/join/?geo=050AF0017002122%26show=year%252Ccondition%252Cresidence%26required=proportion_of_children%26sumlevel=all%252Call%252Call,https://api.dataafrica.io/api/join/?geo=050AF0017002122%26show=year%252Ccondition%252Cresidence%26required=proportion_of_children%26sumlevel=all%252Call%252Call
-yirm,2026-06-17 03:54:25,20.165.223.187,0,https://api.dataafrica.io/api/join/?geo=050AF0017002118&show=year%2Ccondition%2Cresidence&required=dhs_geo_name%2Cdhs_geo_parent_name%2Cproportion_of_children&sumlevel=all%2Call%2Call,https://api.dataafrica.io/api/join/?geo=050AF0017002118&show=year%2Ccondition%2Cresidence&required=dhs_geo_name%2Cdhs_geo_parent_name%2Cproportion_of_children&sumlevel=all%2Call%2Call
009iu,2026-06-17 03:54:45,52.159.83.99,0,https://api.dataafrica.io/api/join/?geo=050AF0017002118%26show=year%2Ccondition%2Cresidence%26required=dhs_geo_name%2Cdhs_geo_parent_name%2Cproportion_of_children%26sumlevel=all%2Call%2Call,https://api.dataafrica.io/api/join/?geo=050AF0017002118%26show=year%2Ccondition%2Cresidence%26required=dhs_geo_name%2Cdhs_geo_parent_name%2Cproportion_of_children%26sumlevel=all%2Call%2Call
0mu1h,2026-06-17 03:56:40,20.98.69.95,0,https://api.dataafrica.io/api/join/?geo=test,https://api.dataafrica.io/api/join/?geo=test
