alias,timestamp,ip,clicks,title,url,shorturl
nrcnaepres9983,2026-06-12 22:09:25,64.236.176.163,33,https://www.nationsreportcard.gov/Dataservice/GetAdhocData.aspx?type=data&subject=science&grade=12&subscale=SRPUV&variable=HAOHTAIC&jurisdiction=NP&stattype=MN:MN&Year=2019,https://www.nationsreportcard.gov/Dataservice/GetAdhocData.aspx?type=data&subject=science&grade=12&subscale=SRPUV&variable=HAOHTAIC&jurisdiction=NP&stattype=MN:MN&Year=2019,http://rmn.re/nrcnaepres9983
oaix5507,2026-06-16 08:34:37,135.232.202.128,32,https://httpbingo.org/redirect-to?url=https://quickchart.io/,https://httpbingo.org/redirect-to?url=https://quickchart.io/,http://rmn.re/oaix5507
oaitest93446019,2026-06-17 04:03:27,20.29.85.95,29,OAIRUN TEMP,https://rmn.re/admin/index.php?search=pv057182&search_in=all&x=9918273,http://rmn.re/oaitest93446019
jz,2026-06-17 04:16:07,4.255.229.111,23,https://example.org/SECOND1781669766.6688037,https://example.org/SECOND1781669766.6688037,http://rmn.re/jz
chain169496243,2026-06-17 05:48:37,157.55.197.192,27,chain,https://httpbin.org/get?x=123&y=abc,http://rmn.re/chain169496243
zaihw212584,2026-06-17 05:49:46,20.83.254.1,34,aihw,https://www.aihw.gov.au/reports/medicines/pbs-monthly-data/data?x=chain,http://rmn.re/zaihw212584
zpng233166,2026-06-17 05:49:50,20.57.152.229,34,png,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane,http://rmn.re/zpng233166
zcsv891673,2026-06-17 05:49:53,20.122.143.63,25,csv,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.csv?:showVizHome=no&LGA=Brisbane,http://rmn.re/zcsv891673
meth51372781,2026-06-17 05:53:25,130.213.19.32,34,m,https://www.aihw.gov.au/reports/medicines/pbs-monthly-data/data,http://rmn.re/meth51372781
meth53675634,2026-06-17 05:53:34,20.9.45.249,33,m,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard?:showVizHome=no,http://rmn.re/meth53675634
agd697423,2026-06-17 08:56:53,135.232.250.37,23,"https://api.dataafrica.io/api/join/?geo=050AF0017002122&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all","https://api.dataafrica.io/api/join/?geo=050AF0017002122&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all",http://rmn.re/agd697423
agd29275830,2026-06-17 08:58:37,135.232.226.122,23,https://api.dataafrica.io,https://api.dataafrica.io,http://rmn.re/agd29275830
agd68356233,2026-06-17 08:58:38,20.59.23.78,22,https://api.dataafrica.io,https://api.dataafrica.io,http://rmn.re/agd68356233
agd65497719,2026-06-17 08:58:44,104.42.174.232,29,https://api.dataafrica.io/api/join/,https://api.dataafrica.io/api/join/,http://rmn.re/agd65497719
agd30519948,2026-06-17 08:58:47,20.65.233.86,28,https://api.dataafrica.io/api/join/?geo=050AF0017002122,https://api.dataafrica.io/api/join/?geo=050AF0017002122,http://rmn.re/agd30519948
agd32949904,2026-06-17 08:58:56,20.14.144.200,30,http://api.dataafrica.io/api/join/?geo=050AF0017002122,http://api.dataafrica.io/api/join/?geo=050AF0017002122,http://rmn.re/agd32949904
agd35064984,2026-06-17 08:58:59,20.245.76.15,30,http://api.dataafrica.io/api/join/?geo=050AF0017002122,http://api.dataafrica.io/api/join/?geo=050AF0017002122,http://rmn.re/agd35064984
agdsoftest,2026-06-17 09:07:27,74.249.205.67,23,"https://api.dataafrica.io/api/join/?geo=050AF0017002120&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all","https://api.dataafrica.io/api/join/?geo=050AF0017002120&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all",http://rmn.re/agdsoftest
pbsweb95618278,2026-06-17 13:32:09,4.154.21.77,22,PBSWEB,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane&bridge=pbsweb95618278,http://rmn.re/pbsweb95618278
pbsf0971751,2026-06-17 13:39:09,20.114.181.97,31,F0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane&State/Territory=Queensland,http://rmn.re/pbsf0971751
pbsf1864886,2026-06-17 13:39:11,172.184.178.140,31,F1,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane&State=Queensland,http://rmn.re/pbsf1864886
pbsf3299285,2026-06-17 13:39:14,20.165.132.183,26,F3,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane&Jurisdiction=Queensland,http://rmn.re/pbsf3299285
pv057182,2026-06-17 13:41:55,20.69.55.193,30,V0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State/Territory=Queensland&LGA=Brisbane,http://rmn.re/pv057182
pv261210,2026-06-17 13:41:58,20.12.189.100,28,V2,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State%20/%20Territory=Queensland&LGA=Brisbane,http://rmn.re/pv261210
pv387269,2026-06-17 13:41:59,23.102.125.240,30,V3,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State%20or%20Territory=Queensland&LGA=Brisbane,http://rmn.re/pv387269
pv443627,2026-06-17 13:42:01,20.59.17.133,28,V4,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State/Territory=QLD&LGA=Brisbane,http://rmn.re/pv443627
pv547998,2026-06-17 13:42:02,20.163.102.6,31,V5,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State/Territory=Qld&LGA=Brisbane,http://rmn.re/pv547998
pv630773,2026-06-17 13:42:03,20.69.27.114,23,V6,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State%20Name=Queensland&LGA=Brisbane,http://rmn.re/pv630773
pv719529,2026-06-17 13:42:05,20.168.176.126,32,V7,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State_Territory=Queensland&LGA=Brisbane,http://rmn.re/pv719529
pp019037,2026-06-17 13:43:19,128.203.184.67,29,P0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.State/Territory=Queensland&Parameters.LGA=Brisbane,http://rmn.re/pp019037
pp141475,2026-06-17 13:43:20,20.69.243.118,32,P1,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.Select%20State/Territory=Queensland&Parameters.Select%20an%20LGA=Brisbane,http://rmn.re/pp141475
pp278190,2026-06-17 13:43:21,20.9.3.125,31,P2,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.State=Queensland&Parameters.LGA=Brisbane,http://rmn.re/pp278190
pp355040,2026-06-17 13:43:22,20.165.195.145,27,P3,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameter%20State/Territory=Queensland&Parameter%20LGA=Brisbane,http://rmn.re/pp355040
pp456704,2026-06-17 13:43:24,20.188.65.43,30,P4,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Select%20State/Territory=Queensland&Select%20an%20LGA=Brisbane,http://rmn.re/pp456704
pp520421,2026-06-17 13:43:25,20.69.34.161,29,P5,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Select%20State/Territory:=Queensland&Select%20an%20LGA:=Brisbane,http://rmn.re/pp520421
pp611415,2026-06-17 13:43:26,104.210.218.193,26,P6,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.Location=Brisbane,http://rmn.re/pp611415
pp795941,2026-06-17 13:43:28,74.249.206.63,33,P7,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.Geography=Brisbane,http://rmn.re/pp795941
lv086864,2026-06-17 13:55:52,20.96.19.69,26,LV0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane%20(C),http://rmn.re/lv086864
lv147166,2026-06-17 13:55:54,20.114.192.117,24,LV1,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane%20City,http://rmn.re/lv147166
lv259415,2026-06-17 13:55:58,4.154.21.231,31,LV2,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane%20City%20Council,http://rmn.re/lv259415
lv398604,2026-06-17 13:56:05,20.94.198.85,28,LV3,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane%20(LGA),http://rmn.re/lv398604
lv542951,2026-06-17 13:56:18,20.97.18.211,28,LV5,"https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane,%20Queensland",http://rmn.re/lv542951
lv684038,2026-06-17 13:56:22,20.29.113.113,22,LV6,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane%20(City),http://rmn.re/lv684038
lv883987,2026-06-17 13:56:28,20.98.94.223,24,LV8,"https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane%20(C),%20Qld",http://rmn.re/lv883987
fmt132669,2026-06-17 13:56:50,172.184.128.122,26,FMT1,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no,http://rmn.re/fmt132669
fmt299151,2026-06-17 13:56:52,20.45.52.204,26,FMT2,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no,http://rmn.re/fmt299151
fmt385345,2026-06-17 13:56:55,57.154.47.240,24,FMT3,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.xlsx?:showVizHome=no,http://rmn.re/fmt385345
fmt577045,2026-06-17 13:57:06,20.245.187.79,29,FMT5,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard/bootstrapSession/sessions/,http://rmn.re/fmt577045
fmt698072,2026-06-17 13:57:11,172.202.20.17,24,FMT6,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/Workbook.twb?:showVizHome=no,http://rmn.re/fmt698072
fmt718385,2026-06-17 13:57:12,4.154.177.145,28,FMT7,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSdashboardallATC1-ATC2medicines-Agegroup.twb?:showVizHome=no,http://rmn.re/fmt718385
bkv07931,2026-06-17 14:00:01,20.168.77.252,23,BKV0,https://viz.aihw.gov.au/t/Public/views/16149/PBSDashboard?:showVizHome=no,http://rmn.re/bkv07931
bkm08649,2026-06-17 14:00:01,20.228.114.80,24,BKM0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.csv?:showVizHome=no&:showTabs=true,http://rmn.re/bkm08649
bkh16887,2026-06-17 14:00:02,135.119.61.72,31,BKH1,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard?:embed=yes&:showVizHome=no,http://rmn.re/bkh16887
bkw05234,2026-06-17 14:00:04,57.154.38.39,30,BKW0,https://viz.aihw.gov.au/workbooks/PBSdashboardallATC1-ATC2medicines-Agegroup.twb?showVizHome=no,http://rmn.re/bkw05234
bkw17575,2026-06-17 14:00:04,57.154.38.13,30,BKW1,https://viz.aihw.gov.au/t/Public/workbooks/PBSdashboardallATC1-ATC2medicines-Agegroup.twb?showVizHome=no,http://rmn.re/bkw17575
bkw29176,2026-06-17 14:00:05,40.75.137.10,25,BKW2,https://viz.aihw.gov.au/workbooks/16149.twb?showVizHome=no,http://rmn.re/bkw29176
bkc06073,2026-06-17 14:00:07,20.9.77.240,23,BKC0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.csv?:showVizHome=no,http://rmn.re/bkc06073
pg749140,2026-06-17 14:03:43,20.66.86.78,33,PG7,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Select%20State/Territory:=Queensland&Select%20an%20LGA:=Brisbane,http://rmn.re/pg749140
pg699426,2026-06-17 14:03:43,20.69.177.246,32,PG6,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.Select%20State/Territory=Queensland&Parameters.Select%20an%20LGA=Brisbane%20(C),http://rmn.re/pg699426
pg565480,2026-06-17 14:03:44,135.232.178.235,31,PG5,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.Select%20State/Territory=Queensland&Parameters.Select%20an%20LGA=Brisbane,http://rmn.re/pg565480
pg474432,2026-06-17 14:03:45,20.237.147.115,28,PG4,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&State/Territory=Queensland&LGA=Brisbane%20(C),http://rmn.re/pg474432
pg326424,2026-06-17 14:03:45,52.225.20.64,29,PG3,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&State/Territory=Queensland&LGA=Brisbane,http://rmn.re/pg326424
pg891169,2026-06-17 14:03:46,52.242.198.84,31,PG8,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Jurisdiction=Queensland&LGA=Brisbane,http://rmn.re/pg891169
pg077202,2026-06-17 14:03:47,20.230.158.144,30,PG0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&LGA=Brisbane,http://rmn.re/pg077202
md317882,2026-06-17 14:05:30,52.230.162.157,31,MD3,https://viz.aihw.gov.au/t/Public/workbooks/16149,http://rmn.re/md317882
md657809,2026-06-17 14:05:32,20.29.78.64,30,MD6,https://viz.aihw.gov.au/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.csv?:showVizHome=no,http://rmn.re/md657809
md125971,2026-06-17 14:05:35,20.114.216.89,31,MD1,https://viz.aihw.gov.au/t/Public/workbooks/16149/views,http://rmn.re/md125971
md086694,2026-06-17 14:05:36,52.225.51.104,31,MD0,https://viz.aihw.gov.au/workbooks/16149/views,http://rmn.re/md086694
md530486,2026-06-17 14:05:37,52.247.29.33,31,MD5,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/sheets/PBSDashboard,http://rmn.re/md530486
md274578,2026-06-17 14:05:38,20.171.140.126,32,MD2,https://viz.aihw.gov.au/workbooks/16149,http://rmn.re/md274578
api332316,2026-06-17 14:09:31,20.65.234.96,33,API3,https://www.aihw.gov.au/api/site-search/suggestions?searchText=PBS%20monthly,http://rmn.re/api332316
api111881,2026-06-17 14:09:31,20.25.162.189,31,API1,https://www.aihw.gov.au/api/search/all-downloadable-resources?reportNodeGuid=0f54bd8d-2459-4d5e-b81e-e9a7af0e589f,http://rmn.re/api111881
pa386608,2026-06-17 14:10:40,172.184.242.203,34,PA3,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.LGA=Brisbane,http://rmn.re/pa386608
pa1072665,2026-06-17 14:10:41,4.151.158.157,33,PA10,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Select%20an%20LGA=Brisbane,http://rmn.re/pa1072665
pa099415,2026-06-17 14:10:41,172.212.188.62,32,PA0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.Select%20State/Territory:=Queensland,http://rmn.re/pa099415
pa547655,2026-06-17 14:10:42,4.255.236.40,26,PA5,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.Location=Brisbane,http://rmn.re/pa547655
pa699157,2026-06-17 14:10:42,20.172.4.204,25,PA6,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.Geography=Brisbane,http://rmn.re/pa699157
pa933913,2026-06-17 14:10:43,20.69.158.247,31,PA9,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Select%20State/Territory=Queensland,http://rmn.re/pa933913
pa1235153,2026-06-17 14:10:44,128.203.184.196,37,PA12,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Jurisdiction=Queensland,http://rmn.re/pa1235153
pa262480,2026-06-17 14:10:45,57.154.45.131,32,PA2,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.State/Territory=Queensland,http://rmn.re/pa262480
pa790367,2026-06-17 14:10:46,57.154.44.208,24,PA7,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.pState=Queensland&Parameters.pLGA=Brisbane,http://rmn.re/pa790367
pa139939,2026-06-17 14:10:47,23.102.109.132,30,PA1,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.Select%20an%20LGA:=Brisbane,http://rmn.re/pa139939
co331568,2026-06-17 14:22:28,20.12.238.20,29,CO3,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.LGA=Brisbane&Parameters.State=Queensland,http://rmn.re/co331568
co647116,2026-06-17 14:22:28,172.170.252.89,31,CO6,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.LGA=Brisbane%20(C)&Parameters.State/Territory=Queensland,http://rmn.re/co647116
co529403,2026-06-17 14:22:28,13.78.142.218,23,CO5,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.LGA=Brisbane%20(C)&Parameters.State=Queensland,http://rmn.re/co529403
co083641,2026-06-17 14:22:28,20.94.192.157,32,CO0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.Select%20State/Territory:=Queensland&Parameters.Select%20an%20LGA:=Brisbane,http://rmn.re/co083641
co471816,2026-06-17 14:22:30,20.12.208.32,26,CO4,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.LGA=Brisbane&Parameters.Jurisdiction=Queensland,http://rmn.re/co471816
co225235,2026-06-17 14:22:30,20.165.155.247,31,CO2,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.Select%20State/Territory:=Qld&Parameters.Select%20an%20LGA:=Brisbane,http://rmn.re/co225235
co759342,2026-06-17 14:22:31,52.230.162.163,23,CO7,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.LGA=Brisbane&Parameters.State/Territory=Queensland,http://rmn.re/co759342
co156730,2026-06-17 14:22:32,172.208.154.147,30,CO1,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&Parameters.Select%20State/Territory:=QLD&Parameters.Select%20an%20LGA:=Brisbane,http://rmn.re/co156730
np462630,2026-06-17 14:23:27,52.176.16.140,29,NP4,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.LGA=Brisbane%20(C)&Parameters.State=Queensland,http://rmn.re/np462630
np278140,2026-06-17 14:23:27,172.184.176.43,32,NP2,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.Select%20State/Territory:=Queensland&Parameters.Select%20an%20LGA:=Brisbane,http://rmn.re/np278140
np373661,2026-06-17 14:23:27,20.169.42.231,23,NP3,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.LGA=Brisbane&Parameters.State=Queensland,http://rmn.re/np373661
np056670,2026-06-17 14:23:28,20.97.66.65,33,NP0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.LGA=Brisbane,http://rmn.re/np056670
np146018,2026-06-17 14:23:28,20.114.133.53,22,NP1,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.Select%20an%20LGA:=Brisbane,http://rmn.re/np146018
lb37880,2026-06-17 14:25:32,20.9.23.85,24,LB3,"https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&:toolbar=no&LGA=Brisbane%20(C),%20Queensland",http://rmn.re/lb37880
lb153319,2026-06-17 14:25:32,135.232.225.193,34,LB15,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&:toolbar=no&LGA=Brisbane%20City%20Council,http://rmn.re/lb153319
lb06482,2026-06-17 14:25:32,20.94.90.51,29,LB0,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&:toolbar=no&LGA=Brisbane%20(C),http://rmn.re/lb06482
lb26869,2026-06-17 14:25:34,20.29.83.163,34,LB2,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.pdf?:showVizHome=no&:toolbar=no&LGA=Brisbane%20(C)%20(Qld),http://rmn.re/lb26869
