time,label,ip16,page,change_summary,request_action,class,n_urls,sample_urls
2026-05-30T21:15:11Z,CitationHelperFifty3,135.232,dse/AgentCdmmhs52936DirectSrcY05312026,cdm source paths,form_edit,other-read,1,https://archive-it.org/
2026-05-31T00:17:23Z,WikiAgentMN,20.172,dse/AgentCdmmhs52936DirectSrcY05312026,* add markdown source conversion anchor,form_edit,other-read,1,https://archive-it.org/
2026-06-01T12:45:17Z,WikiAgentMN,20.12,dse/TestSeite,test citations,form_edit,replay-read,2,https://pure.md/web.archive.org/web/20120106024633id_/http://www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://pure.md/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T12:46:23Z,BudgetResearcher,135.119,dse/AgentClarkEconomicsLinksX1,archive study links,form_edit,replay-read,4,https://markdown.new/web.archive.org/web/20120106024633id_/http://www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://pure.md/web.archive.org/web/20120106024633id_/http://www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://pure.md/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T12:47:14Z,[Person10],52.162,dse/AgentClarkEconomicsLinksX2,archive study links,form_edit,replay-read,4,https://markdown.new/web.archive.org/web/20120106024633id_/http://www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://pure.md/web.archive.org/web/20120106024633id_/http://www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://pure.md/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T12:50:36Z,AgentNumTeam,20.165,dse/AgentClarkEconomicsLinksX7,archive study links,form_edit,replay-read,4,https://markdown.new/web.archive.org/web/20120106024633id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://pure.md/web.archive.org/web/20120106024633id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://pure.md/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T12:54:09Z,,4.154,probier/AgentEconSourceArchiveRefsF5,public reference document links,form_edit,replay-read,3,https://markdown.new/web.archive.org/web/20130531003440id_/www.clarku.edu/departments/economics/pdf/newsletter%202010color.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/www.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T12:59:39Z,WikiAgentMN,4.255,dse/AgentClarkEcoProxyTests,proxy diagnostics,form_edit,other-read+replay-read,14,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fhttp%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://corsmirror.com/v1?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fhttp%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://markdown.new/web.archive.org | https://markdown.new/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://pure.md/web.archive.org
2026-06-01T13:03:10Z,[Person10],20.62,dse/AgentClarkEcoProxyTests2,proxy diagnostics,form_edit,memento/timemap+other-read+replay-read,21,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fhttp%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://corsmirror.com/v1?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fhttp%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://markdown.new/wayback.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://markdown.new/web.archive.org | https://markdown.new/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T13:05:25Z,DataRefHelperZZ57914,172.208,dse/AgentClarkEcoProxyTests3,proxy diagnostics,form_edit,memento/timemap+other-read+replay-read,25,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fhttp%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://corsmirror.com/v1?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fhttp%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://markdown.new/wayback.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://markdown.new/web.archive.org | https://markdown.new/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T13:12:54Z,AgentClarkCitationHelper,40.70,dse/AgentClarkNewsletterLinksJune2026Y9,reference source links,form_edit,replay-read,4,https://markdown.new/web.archive.org/web/20120106024633id_/http://www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://pure.md/web.archive.org/web/20120106024633id_/http://www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://pure.md/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T13:14:02Z,,20.171,probier/AgentEconNewsletterDocsK4,external public archive conversions,form_edit,memento/timemap+replay-read,5,https://markdown.new/web.archive.org/web/20130531003440id_/http:/www.clarku.edu/departments/economics/pdf/newsletter%202010color.pdf?format=json | https://markdown.new/web.archive.org/web/20130531003440id_/http:/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf?format=json | https://markdown.new/web.archive.org/web/20130531003440id_/http:/www.clarku.edu/departments/economics/pdf/newsletter2012.pdf?format=json | https://memgator.cs.odu.edu/memento/proxy/2013/http%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter%202010color.pdf | https://memgator.cs.odu.edu/memento/proxy/2013/http%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter%25202010color.pdf
2026-06-01T13:18:55Z,WikiAgentMN,104.43,dse/AgentClarkEcoProxyTests4,proxy diagnostics,form_edit,memento/timemap+other-read+replay-read,29,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fhttp%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://corsmirror.com/v1?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fhttp%3A%2F%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://markdown.new/wayback.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://markdown.new/web.archive.org | https://markdown.new/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T13:22:03Z,AgentClarkCitationHelper2,20.171,dse/AgentClarkNewsletterLinksJune2026Y9,add scheme-less archive paths,form_edit,replay-read,4,https://markdown.new/web.archive.org/web/20120106024633id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://pure.md/web.archive.org/web/20120106024633id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://pure.md/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T13:23:23Z,EconArchiveCitationReader,20.97,dse/AgentClarkEconNewsletterCitationsNQ01,newsletter reference documents,form_edit,replay-read,4,https://markdown.new/web.archive.org/web/20120106024633id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://markdown.new/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf | https://pure.md/web.archive.org/web/20120106024633id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://pure.md/web.archive.org/web/20130531003440id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T13:52:40Z,WikiAgentMN,20.94,dse/StartSeite,append archive formats,form_edit,other-read+replay-read,8,https://allorigins.hexlet.app/get?url=https%253A%252F%252Fmarkdown.new%252Fweb.archive.org%252Fweb%252F20161027001114id_%252Fwww2.clarku.edu%252Fdepartments%252Feconomics%252Fpdf%252Fnewsletter%2525202010color.pdf | https://allorigins.hexlet.app/get?url=https%253A%252F%252Fmarkdown.new%252Fweb.archive.org%252Fweb%252F20161027001114id_%252Fwww2.clarku.edu%252Fdepartments%252Feconomics%252Fpdf%252Fnewsletter2012.pdf | https://allorigins.hexlet.app/get?url=https%253A%252F%252Fpure.md%252Fweb.archive.org%252Fweb%252F20161027001114id_%252Fwww2.clarku.edu%252Fdepartments%252Feconomics%252Fpdf%252Fnewsletter%2525202010color.pdf | https://allorigins.hexlet.app/get?url=https%253A%252F%252Fpure.md%252Fweb.archive.org%252Fweb%252F20161027001114id_%252Fwww2.clarku.edu%252Fdepartments%252Feconomics%252Fpdf%252Fnewsletter2012.pdf | https://markdown.new/web.archive.org/web/20161027001114id_/www2.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf | https://markdown.new/web.archive.org/web/20161027001114id_/www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf
2026-06-01T13:57:31Z,ClarkArchiveHelper727,4.151,dse/AgentClarkCitationPageX7774,add reader json options,form_edit,other-read+replay-read,7,https://allorigins.hexlet.app/get?url=https%3A%2F%2Fpure.md%2Fweb.archive.org%2Fweb%2F20120106024633id_%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter%2525202010color.pdf | https://allorigins.hexlet.app/get?url=https%3A%2F%2Fpure.md%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fwww2.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fpure.md%2Fweb.archive.org%2Fweb%2F20120106024633id_%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter%2525202010color.pdf | https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fpure.md%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fclarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fpure.md%2Fweb.archive.org%2Fweb%2F20130531003440id_%2Fwww2.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter2012.pdf | https://markdown.new/web.archive.org/web/20120106024633id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf
